project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject,person_ids
107745057,TRR 80: Von elektronischen Korrelationen zur Funktionalität,2010,,980486,Bayerische Akademie der Wissenschaften Walther-Meißner-Institut für Tieftemperaturforschung,3,,"1169253,1849304"
112168462,Forschungsflugzeug,2010,2010,10310,Fachhochschule Aachen,1,,119786564
236471645,Motorenprüfstand,2013,2013,10310,Fachhochschule Aachen,1,,1658034
242140353,Rapid Prototyping Anlage,2013,2013,10310,Fachhochschule Aachen,1,,1486119
112926862,MALDI-TOF/TOF Massenspektrometer,2009,2009,49742429,Universitätsklinikum Halle (Saale),1,,1277907
234325160,Deep Sequencing Plattform,2013,2013,49742429,Universitätsklinikum Halle (Saale),1,,1824943
235014830,Kleintier PET/CT,2013,2013,49742429,Universitätsklinikum Halle (Saale),1,,"389876570,1697706"
265912223,Cell Sorter,2014,2014,49742429,Universitätsklinikum Halle (Saale),1,,1277907
323407891,System zur Einzelzellanalyse,2016,2016,49742429,Universitätsklinikum Halle (Saale),1,,1628663
112927731,Konfokales Laserscanning-Mikroskop,2008,2008,14282,Universitätsklinikum Münster,1,,1329737
170344103,3T-Magnetresonanztomograph,2010,2010,14282,Universitätsklinikum Münster,1,,1099166
209732396,Hochauflösendes Laserscanning-Mikroskop mit SIM/PALM-Modul,2012,2012,14282,Universitätsklinikum Münster,1,,1386563
233658499,Automatisierte Patch clamp Plattform,2013,2013,14282,Universitätsklinikum Münster,1,,39645438
245149397,Ganzkörper MR-PET,2013,2013,14282,Universitätsklinikum Münster,1,,1831125
267365535,Konfokales Laser-Scanning Mikroskop,2014,2014,14282,Universitätsklinikum Münster,1,,1600452
114277481,Zellsortiereinheit,2008,2008,10520,Universitätsklinikum Erlangen AöR,1,,1832480
183589817,Tischdurchflusszytometer,2010,2010,10520,Universitätsklinikum Erlangen AöR,1,,1201400
195959550,Konfokales Laserscanning-Mikroskop,2011,2011,10520,Universitätsklinikum Erlangen AöR,1,,1351753
196795210,Konfokales Laserscanning-Mikroskop,2011,2011,10520,Universitätsklinikum Erlangen AöR,1,,1201400
214284274,Hochgeschwindigkeits-Zellsorter mit 5 Lasern,2012,2012,10520,Universitätsklinikum Erlangen AöR,1,,1648958
228589925,Konfokales Laserscanning-Mikroskop,2012,2012,10520,Universitätsklinikum Erlangen AöR,1,,1832480
228895920,Multicolor-Tischdurchflusszytometer,2012,2012,10520,Universitätsklinikum Erlangen AöR,1,,1832480
229590421,Konfokales Laserscanning-Mikroskop,2013,2013,10520,Universitätsklinikum Erlangen AöR,1,,1460148
259986102,Multimodales Kleintier-Bildgebungsgerät,2014,2014,10520,Universitätsklinikum Erlangen AöR,1,,1201400
261348581,MicroCT-Einheit,2014,2014,10520,Universitätsklinikum Erlangen AöR,1,,1201400
283341277,Kleintier-Ultraschallgerät,2015,2015,10520,Universitätsklinikum Erlangen AöR,1,,143423432
326239952,Konfokales Laserscanningmikroskop,2016,2016,10520,Universitätsklinikum Erlangen AöR,1,,1707776
326998133,TRR 225: Von den Grundlagen der Biofabrikation zu funktionalen Gewebemodellen,2018,,10520,Universitätsklinikum Erlangen AöR,3,,28709316
337516963,Kleintierscanner für optical imaging,2016,2016,10520,Universitätsklinikum Erlangen AöR,1,,143423432
382246579,Multispektraler optoakustischer Tomograph,2017,2017,10520,Universitätsklinikum Erlangen AöR,1,,1201400
391371888,Lichtblattfluoreszenzmikroskop,2017,2017,10520,Universitätsklinikum Erlangen AöR,1,,30882106
114462072,Zellwand-Eigenschaften und Bioadhäsion in verschiedenen Genotypen der aeroterrestrischen Grünalgengattung Klebsormidium aus alpinen Böden der österreichischen Alpen,2009,2016,234473191,Leopold-Franzens-Universität Innsbruck Institut für Botanik Arbeitsbereich Funktionelle Pflanzenbiologie,8,,"1127384,204534300,1405356"
114912504,Mikroautoradiograph,2009,2009,20695812,Universitätsklinikum Essen,1,,19330181
144426993,Multiphotonen-Ausrüstung für ein Konfokales Laserscanning-Mikroskop,2009,2009,20695812,Universitätsklinikum Essen,1,,1770580
156705823,MRT-kompatibler Transportinkubator für Früh- und Neugeborene,2010,2010,20695812,Universitätsklinikum Essen,1,,1648768
170686820,Integrierte Funktionseinheit für Mikroskopie,2010,2010,20695812,Universitätsklinikum Essen,1,,1641620
172427910,Next Generation Sequencer,2010,2010,20695812,Universitätsklinikum Essen,1,,5715
185575416,Konfokales Laserscanning-Mikroskop,2011,2011,20695812,Universitätsklinikum Essen,1,,1648768
214989576,Durchflusszytometer,2012,2012,20695812,Universitätsklinikum Essen,1,,1784352
215017211,Imaging Flow Cytometer,2012,2012,20695812,Universitätsklinikum Essen,1,,1641620
234323630,"Spektral-Konfokalmikroskop mit Weißlichtlaser, FLIM und Hochauflösung",2013,2013,20695812,Universitätsklinikum Essen,1,,1828765
234324669,TIRF Mikroskop mit FRAP und Hochauflösung,2013,2013,20695812,Universitätsklinikum Essen,1,,1828765
234594381,Hochgeschwindigkeits-Zellsortiersystem,2013,2013,20695812,Universitätsklinikum Essen,1,,1828765
234981023,2-Photonenmikroskop,2013,2013,20695812,Universitätsklinikum Essen,1,,1828765
248553422,2x 128 Zeilen Dual Source CT-Scanner,2014,2014,20695812,Universitätsklinikum Essen,1,,248553734
274299030,Transmissionselektronenmikroskop,2015,2015,20695812,Universitätsklinikum Essen,1,,1329612
274299086,Feldemissions-Rasterelektronenmikroskop,2015,2015,20695812,Universitätsklinikum Essen,1,,1329612
343886765,Multispektraloptoakustischer Tomograph,2017,2017,20695812,Universitätsklinikum Essen,1,,272898235
361150026,Durchflusszytometer mit Zellsortierfunktion,2018,2018,20695812,Universitätsklinikum Essen,1,,1649449
361169993,Microfluidic Real Time PCR System,2018,2018,20695812,Universitätsklinikum Essen,1,,44499614
384333429,Polychromatischer Durchflusszytometer,2018,2018,20695812,Universitätsklinikum Essen,1,,44499614
114933180,TRR 84: Angeborene Immunität der Lunge: Mechanismen des Pathogenangriffs und der Wirtsabwehr in der Pneumonie,2010,,178256735,Robert Koch-Institut (RKI) Fachgebiet 17: Influenzaviren und weitere Viren des Respirationstraktes,3,"Mikrobiologie, Virologie und Immunologie",1295999
115014889,High Performance Rechner-Cluster,2009,2009,10595,Hochschule Bremen,1,,1777391
115836556,Entwicklung automatischer Regelsysteme für wassersparende Bewässerung in Obstplantagen (T01),2009,2012,115837530,Maejo University Faculty of Agriculture - Department of Soil Resources and Environment,4,,1519841
115836556,Entwicklung automatischer Regelsysteme für wassersparende Bewässerung in Obstplantagen (T01),2009,2012,115837652,Chiang Mai University Dept. of Horticulture,4,,1519841
116817248,Entwicklung von energieeffizienten Trocknungssystemen für qualitativ hochwertige Trockenfrüchte (T02),2009,2012,115837652,Chiang Mai University Dept. of Horticulture,4,,1519841
116848546,"Ganzheitliche Verwertung tropischer Früchte durch die Gewinnung von Zutaten zu Lebensmitteln aus Verarbeitungsreststoffen, insbesondere aus Mangoschalen (T03)",2009,2012,115837652,Chiang Mai University Dept. of Horticulture,4,,"1603974,1682442"
116817248,Entwicklung von energieeffizienten Trocknungssystemen für qualitativ hochwertige Trockenfrüchte (T02),2009,2012,116817401,Silpakorn University Department of Physics,4,,1519841
141497582,FACS-Sorter mit UV-Laser,2009,2009,13125,Universitätsklinikum Aachen (AöR) Medizinische Fakultät der RWTH,1,,1684258
279078099,Hochdurchsatz Desktop Next Generation Sequencing System,2015,2015,13125,Universitätsklinikum Aachen (AöR) Medizinische Fakultät der RWTH,1,,1338115
124020371,SFB 876: Verfügbarkeit von Information durch Analyse unter Ressourcenbeschränkung,2011,,13000,Leibniz-Institut für Analytische Wissenschaften -ISAS- e.V.,3,,1563643
125994250,Zyklotron,2009,2009,30224825,Universitätsklinikum Würzburg,1,,1398897
167038074,3D-in-vivo Imaging System,2010,2010,30224825,Universitätsklinikum Würzburg,1,,84969208
170889569,Multi-Kanal Nah-Infrarot Spektroskopie-Gerät,2009,2009,30224825,Universitätsklinikum Würzburg,1,,1569211
223199010,"3 T Ganzkörper MR-Scanner, zunächst 1,5 T Betrieb mit späterer Aufrüstung auf 3 T ohne Austausch des Magneten",2012,2012,30224825,Universitätsklinikum Würzburg,1,,1046460
231791395,Laser Scanning-Mikroskop,2012,2012,30224825,Universitätsklinikum Würzburg,1,,1392929
